#Parameters = {d=500; p=50; phi=0; r1=40; r2=15; t=0.2; theta=0; w=2.5; Mesh Pass=3}
#"Frequency / THz"	"S2,1 (3) [Magnitude / dB]"
#---------------------------------------------
1.4989999532700	-2.5652311085705
1.5034999847412	-2.5960122452369
1.5080000162125	-2.6278820545070
1.5125000476837	-2.6608185891484
1.5169999599457	-2.6947856681713
1.5214999914169	-2.7297400865440
1.5260000228882	-2.7656241847301
1.5305000543594	-2.8023767529923
1.5349999666214	-2.8399271637574
1.5394999980927	-2.8782065088848
1.5440000295639	-2.9171398486974
1.5484999418259	-2.9566569681157
1.5529999732971	-2.9966895406349
1.5575000047684	-3.0371800001041
1.5620000362396	-3.0780778447907
1.5664999485016	-3.1193483202266
1.5709999799728	-3.1609717339814
1.5755000114441	-3.2029432100442
1.5800000429153	-3.2452800299610
1.5844999551773	-3.2880204616001
1.5889999866486	-3.3312245198430
1.5935000181198	-3.3749750279627
1.5980000495911	-3.4193761545605
1.6024999618530	-3.4645588203811
1.6069999933243	-3.5106709564645
1.6115000247955	-3.5578820456032
1.6160000562668	-3.6063807297170
1.6204999685287	-3.6563690217784
1.6250000000000	-3.7080639679678
1.6295000314713	-3.7616940143178
1.6339999437332	-3.8174918640149
1.6384999752045	-3.8756930749865
1.6430000066757	-3.9365366963292
1.6475000381470	-4.0002579844067
1.6519999504089	-4.0670827729863
1.6564999818802	-4.1372297968964
1.6610000133514	-4.2109013056741
1.6655000448227	-4.2882870644133
1.6699999570847	-4.3695543989320
1.6744999885559	-4.4548482802281
1.6790000200272	-4.5442909073070
1.6835000514984	-4.6379754322258
1.6879999637604	-4.7359666397010
1.6924999952316	-4.8382975915308
1.6970000267029	-4.9449709279041
1.7015000581741	-5.0559506070227
1.7059999704361	-5.1711698792430
1.7105000019073	-5.2905263335641
1.7150000333786	-5.4138781207046
1.7194999456406	-5.5410548859729
1.7239999771118	-5.6718433291706
1.7285000085831	-5.8060086121696
1.7330000400543	-5.9432736640566
1.7374999523163	-6.0833459094122
1.7419999837875	-6.2258979532727
1.7465000152588	-6.3705916562343
1.7510000467300	-6.5170723256235
1.7554999589920	-6.6649755944040
1.7599999904633	-6.8139399045343
1.7645000219345	-6.9636083683099
1.7690000534058	-7.1136380141704
1.7734999656677	-7.2637110309681
1.7779999971390	-7.4135352569846
1.7825000286102	-7.5628630325643
1.7869999408722	-7.7114881365934
1.7914999723434	-7.8592576112505
1.7960000038147	-8.0060766939527
1.8005000352859	-8.1519105846638
1.8049999475479	-8.2967888260898
1.8094999790192	-8.4408039261409
1.8140000104904	-8.5841114854855
1.8185000419617	-8.7269272620023
1.8229999542236	-8.8695215592084
1.8274999856949	-9.0122153422178
1.8320000171661	-9.1553717255239
1.8365000486374	-9.2993849993679
1.8409999608994	-9.4446796528051
1.8454999923706	-9.5916912064837
1.8500000238419	-9.7408664689579
1.8545000553131	-9.8926499114911
1.8589999675751	-10.047471913216
1.8634999990463	-10.205748258572
1.8680000305176	-10.367866545482
1.8724999427795	-10.534182836207
1.8769999742508	-10.705009884539
1.8815000057220	-10.880620986420
1.8860000371933	-11.061235712429
1.8904999494553	-11.247025361412
1.8949999809265	-11.438099614217
1.8995000123978	-11.634515450052
1.9040000438690	-11.836265981228
1.9084999561310	-12.043284419614
1.9129999876022	-12.255444966299
1.9175000190735	-12.472560700042
1.9220000505447	-12.694381211557
1.9264999628067	-12.920605205783
1.9309999942780	-13.150876624641
1.9355000257492	-13.384786996237
1.9400000572205	-13.621885193015
1.9444999694824	-13.861677961321
1.9490000009537	-14.103635731140
1.9535000324249	-14.347198714602
1.9579999446869	-14.591782621628
1.9624999761581	-14.836780908983
1.9670000076294	-15.081563950143
1.9715000391006	-15.325483074946
1.9759999513626	-15.567870633630
1.9804999828339	-15.808022348282
1.9850000143051	-16.045203978202
1.9895000457764	-16.278624838212
1.9939999580383	-16.507425334254
1.9984999895096	-16.730662010399
2.0030000209808	-16.947278306127
2.0074999332428	-17.156079300691
2.0120000839233	-17.355725465434
2.0164999961853	-17.544703735051
2.0209999084473	-17.721325519473
2.0255000591278	-17.883735940100
2.0299999713898	-18.029928037135
2.0344998836517	-18.157797796462
2.0390000343323	-18.265203330759
2.0434999465942	-18.350055455158
2.0480000972748	-18.410420192553
2.0525000095367	-18.444647698218
2.0569999217987	-18.451473402390
2.0615000724792	-18.430135223259
2.0659999847412	-18.380440200881
2.0704998970032	-18.302806171344
2.0750000476837	-18.198250657817
2.0794999599457	-18.068345810219
2.0840001106262	-17.915129217769
2.0885000228882	-17.740984576723
2.0929999351501	-17.548529385506
2.0975000858307	-17.340479218895
2.1019999980927	-17.119545125655
2.1064999103546	-16.888334671242
2.1110000610352	-16.649283925820
2.1154999732971	-16.404606414122
2.1199998855591	-16.156271262884
2.1245000362396	-15.905985933995
2.1289999485016	-15.655195072541
2.1335000991821	-15.405101486998
2.1380000114441	-15.156675240673
2.1424999237061	-14.910681173958
2.1470000743866	-14.667704299421
2.1514999866486	-14.428160892283
2.1559998989105	-14.192341489045
2.1605000495911	-13.960418171662
2.1649999618530	-13.732472823450
2.1695001125336	-13.508516536482
2.1740000247955	-13.288502785896
2.1784999370575	-13.072348461024
